Date,Airport,Passengers
2019 JANUARY,CORK,148939
2019 FEBRUARY,CORK,150482
2019 MARCH,CORK,174876
2019 APRIL,CORK,210510
2019 MAY,CORK,239077
2019 JUNE,CORK,278961
2019 JULY,CORK,296876
2019 AUGUST,CORK,296799
2019 SEPTEMBER,CORK,238523
2019 OCTOBER,CORK,215482
2019 NOVEMBER,CORK,171693
2019 DECEMBER,CORK,163248
2020 JANUARY,CORK,158078
2020 FEBRUARY,CORK,159121
2020 MARCH,CORK,80188
2020 APRIL,CORK,1140
2020 MAY,CORK,2116
2020 JUNE,CORK,4623
2020 JULY,CORK,27631
2020 AUGUST,CORK,39951
2020 SEPTEMBER,CORK,22705
2020 OCTOBER,CORK,16714
2020 NOVEMBER,CORK,6108
2020 DECEMBER,CORK,8639
2021 JANUARY,CORK,4849
2021 FEBRUARY,CORK,1478
2021 MARCH,CORK,2599
2021 APRIL,CORK,3796
2021 MAY,CORK,6956
2021 JUNE,CORK,14179
2021 JULY,CORK,32001
2021 AUGUST,CORK,73640
2021 SEPTEMBER,CORK,28168
2021 OCTOBER,CORK,0
2021 NOVEMBER,CORK,14933
2021 DECEMBER,CORK,72415
2022 JANUARY,CORK,65166
2022 FEBRUARY,CORK,96947
2022 MARCH,CORK,126210
2022 APRIL,CORK,192275
2022 MAY,CORK,204036
2022 JUNE,CORK,248904
2022 JULY,CORK,265597
2022 AUGUST,CORK,269799
2022 SEPTEMBER,CORK,232410
2022 OCTOBER,CORK,205807
2022 NOVEMBER,CORK,166913
2022 DECEMBER,CORK,164391
2023 JANUARY,CORK,160857
2023 FEBRUARY,CORK,157329
2023 MARCH,CORK,180835
2023 APRIL,CORK,249691
2023 MAY,CORK,262358
2023 JUNE,CORK,279671
2023 JULY,CORK,300228
2023 AUGUST,CORK,307117
2023 SEPTEMBER,CORK,259597
2023 OCTOBER,CORK,253108
2023 NOVEMBER,CORK,190414
2023 DECEMBER,CORK,196819
2024 JANUARY,CORK,182798
2024 FEBRUARY,CORK,193184
2024 MARCH,CORK,226007
2024 APRIL,CORK,243397
2024 MAY,CORK,281858
2024 JUNE,CORK,307213
2024 JULY,CORK,327058
2024 AUGUST,CORK,341067
2024 SEPTEMBER,CORK,295093
2024 OCTOBER,CORK,258822
2024 NOVEMBER,CORK,200682
