Date,Airport,Passengers
2019 JANUARY,DUBLIN,2054794
2019 FEBRUARY,DUBLIN,1993325
2019 MARCH,DUBLIN,2432195
2019 APRIL,DUBLIN,2789660
2019 MAY,DUBLIN,2965517
2019 JUNE,DUBLIN,3202409
2019 JULY,DUBLIN,3430859
2019 AUGUST,DUBLIN,3399714
2019 SEPTEMBER,DUBLIN,3021796
2019 OCTOBER,DUBLIN,2865397
2019 NOVEMBER,DUBLIN,2240194
2019 DECEMBER,DUBLIN,2280391
2020 JANUARY,DUBLIN,2082481
2020 FEBRUARY,DUBLIN,2030643
2020 MARCH,DUBLIN,1026004
2020 APRIL,DUBLIN,23951
2020 MAY,DUBLIN,42661
2020 JUNE,DUBLIN,88980
2020 JULY,DUBLIN,374443
2020 AUGUST,DUBLIN,509910
2020 SEPTEMBER,DUBLIN,386058
2020 OCTOBER,DUBLIN,253972
2020 NOVEMBER,DUBLIN,166835
2020 DECEMBER,DUBLIN,281302
2021 JANUARY,DUBLIN,199133
2021 FEBRUARY,DUBLIN,95802
2021 MARCH,DUBLIN,110177
2021 APRIL,DUBLIN,120002
2021 MAY,DUBLIN,150855
2021 JUNE,DUBLIN,283892
2021 JULY,DUBLIN,638986
2021 AUGUST,DUBLIN,1233212
2021 SEPTEMBER,DUBLIN,1330636
2021 OCTOBER,DUBLIN,1543404
2021 NOVEMBER,DUBLIN,1382610
2021 DECEMBER,DUBLIN,1177562
2022 JANUARY,DUBLIN,969467
2022 FEBRUARY,DUBLIN,1313651
2022 MARCH,DUBLIN,1816453
2022 APRIL,DUBLIN,2369756
2022 MAY,DUBLIN,2582957
2022 JUNE,DUBLIN,2826982
2022 JULY,DUBLIN,3038562
2022 AUGUST,DUBLIN,3045763
2022 SEPTEMBER,DUBLIN,2756408
2022 OCTOBER,DUBLIN,2689961
2022 NOVEMBER,DUBLIN,2194199
2022 DECEMBER,DUBLIN,2189186
2023 JANUARY,DUBLIN,2091755
2023 FEBRUARY,DUBLIN,2038737
2023 MARCH,DUBLIN,2459474
2023 APRIL,DUBLIN,2812524
2023 MAY,DUBLIN,3027722
2023 JUNE,DUBLIN,3218694
2023 JULY,DUBLIN,3425751
2023 AUGUST,DUBLIN,3420160
2023 SEPTEMBER,DUBLIN,3083300
2023 OCTOBER,DUBLIN,2980282
2023 NOVEMBER,DUBLIN,2299219
2023 DECEMBER,DUBLIN,2405323
2024 JANUARY,DUBLIN,2167922
2024 FEBRUARY,DUBLIN,2154619
2024 MARCH,DUBLIN,2702558
2024 APRIL,DUBLIN,2865471
2024 MAY,DUBLIN,3262673
2024 JUNE,DUBLIN,3349407
2024 JULY,DUBLIN,3509035
2024 AUGUST,DUBLIN,3633237
2024 SEPTEMBER,DUBLIN,3227287
2024 OCTOBER,DUBLIN,2997066
2024 NOVEMBER,DUBLIN,2359919
