Date,Airport,Passengers
2019 JANUARY,KERRY,20829
2019 FEBRUARY,KERRY,22231
2019 MARCH,KERRY,25546
2019 APRIL,KERRY,32171
2019 MAY,KERRY,34213
2019 JUNE,KERRY,36150
2019 JULY,KERRY,40680
2019 AUGUST,KERRY,39617
2019 SEPTEMBER,KERRY,35721
2019 OCTOBER,KERRY,31790
2019 NOVEMBER,KERRY,25151
2019 DECEMBER,KERRY,25737
2020 JANUARY,KERRY,21572
2020 FEBRUARY,KERRY,22699
2020 MARCH,KERRY,11492
2020 APRIL,KERRY,110
2020 MAY,KERRY,219
2020 JUNE,KERRY,479
2020 JULY,KERRY,6528
2020 AUGUST,KERRY,8337
2020 SEPTEMBER,KERRY,5103
2020 OCTOBER,KERRY,3188
2020 NOVEMBER,KERRY,1342
2020 DECEMBER,KERRY,1890
2021 JANUARY,KERRY,1065
2021 FEBRUARY,KERRY,406
2021 MARCH,KERRY,517
2021 APRIL,KERRY,667
2021 MAY,KERRY,935
2021 JUNE,KERRY,2699
2021 JULY,KERRY,5380
2021 AUGUST,KERRY,20811
2021 SEPTEMBER,KERRY,19235
2021 OCTOBER,KERRY,27229
2021 NOVEMBER,KERRY,21588
2021 DECEMBER,KERRY,14866
2022 JANUARY,KERRY,7158
2022 FEBRUARY,KERRY,15579
2022 MARCH,KERRY,22099
2022 APRIL,KERRY,33828
2022 MAY,KERRY,33047
2022 JUNE,KERRY,35218
2022 JULY,KERRY,40073
2022 AUGUST,KERRY,41433
2022 SEPTEMBER,KERRY,36563
2022 OCTOBER,KERRY,36143
2022 NOVEMBER,KERRY,25883
2022 DECEMBER,KERRY,28019
2023 JANUARY,KERRY,21563
2023 FEBRUARY,KERRY,24612
2023 MARCH,KERRY,26172
2023 APRIL,KERRY,40955
2023 MAY,KERRY,40825
2023 JUNE,KERRY,35828
2023 JULY,KERRY,45902
2023 AUGUST,KERRY,48518
2023 SEPTEMBER,KERRY,39309
2023 OCTOBER,KERRY,39404
2023 NOVEMBER,KERRY,24743
2023 DECEMBER,KERRY,26740
2024 JANUARY,KERRY,20428
2024 FEBRUARY,KERRY,23899
2024 MARCH,KERRY,26950
2024 APRIL,KERRY,30999
2024 MAY,KERRY,41079
2024 JUNE,KERRY,41016
2024 JULY,KERRY,46075
2024 AUGUST,KERRY,49651
2024 SEPTEMBER,KERRY,39779
2024 OCTOBER,KERRY,37484
2024 NOVEMBER,KERRY,26236
