Date,Airport,Passengers
2019 JANUARY,KNOCK,42413
2019 FEBRUARY,KNOCK,45456
2019 MARCH,KNOCK,54700
2019 APRIL,KNOCK,71563
2019 MAY,KNOCK,73850
2019 JUNE,KNOCK,77020
2019 JULY,KNOCK,88781
2019 AUGUST,KNOCK,94907
2019 SEPTEMBER,KNOCK,76300
2019 OCTOBER,KNOCK,72299
2019 NOVEMBER,KNOCK,55255
2019 DECEMBER,KNOCK,52899
2020 JANUARY,KNOCK,40272
2020 FEBRUARY,KNOCK,45263
2020 MARCH,KNOCK,22436
2020 APRIL,KNOCK,0
2020 MAY,KNOCK,0
2020 JUNE,KNOCK,0
2020 JULY,KNOCK,8072
2020 AUGUST,KNOCK,13707
2020 SEPTEMBER,KNOCK,5734
2020 OCTOBER,KNOCK,4661
2020 NOVEMBER,KNOCK,1343
2020 DECEMBER,KNOCK,1044
2021 JANUARY,KNOCK,619
2021 FEBRUARY,KNOCK,0
2021 MARCH,KNOCK,0
2021 APRIL,KNOCK,0
2021 MAY,KNOCK,0
2021 JUNE,KNOCK,2077
2021 JULY,KNOCK,9505
2021 AUGUST,KNOCK,25307
2021 SEPTEMBER,KNOCK,34333
2021 OCTOBER,KNOCK,42943
2021 NOVEMBER,KNOCK,33438
2021 DECEMBER,KNOCK,25805
2022 JANUARY,KNOCK,13820
2022 FEBRUARY,KNOCK,32660
2022 MARCH,KNOCK,39901
2022 APRIL,KNOCK,69961
2022 MAY,KNOCK,63041
2022 JUNE,KNOCK,67026
2022 JULY,KNOCK,86617
2022 AUGUST,KNOCK,92213
2022 SEPTEMBER,KNOCK,73765
2022 OCTOBER,KNOCK,73188
2022 NOVEMBER,KNOCK,48705
2022 DECEMBER,KNOCK,48643
2023 JANUARY,KNOCK,37639
2023 FEBRUARY,KNOCK,43812
2023 MARCH,KNOCK,51206
2023 APRIL,KNOCK,76913
2023 MAY,KNOCK,71170
2023 JUNE,KNOCK,81927
2023 JULY,KNOCK,91189
2023 AUGUST,KNOCK,101736
2023 SEPTEMBER,KNOCK,75420
2023 OCTOBER,KNOCK,75368
2023 NOVEMBER,KNOCK,53082
2023 DECEMBER,KNOCK,53804
2024 JANUARY,KNOCK,44251
2024 FEBRUARY,KNOCK,52961
2024 MARCH,KNOCK,61383
2024 APRIL,KNOCK,71495
2024 MAY,KNOCK,78943
2024 JUNE,KNOCK,78230
2024 JULY,KNOCK,88096
2024 AUGUST,KNOCK,88841
2024 SEPTEMBER,KNOCK,75270
2024 OCTOBER,KNOCK,69319
2024 NOVEMBER,KNOCK,58955
