Date,Airport,Passengers
2019 JANUARY,SHANNON,87016
2019 FEBRUARY,SHANNON,82497
2019 MARCH,SHANNON,100374
2019 APRIL,SHANNON,128840
2019 MAY,SHANNON,160902
2019 JUNE,SHANNON,178680
2019 JULY,SHANNON,183398
2019 AUGUST,SHANNON,187029
2019 SEPTEMBER,SHANNON,166270
2019 OCTOBER,SHANNON,138218
2019 NOVEMBER,SHANNON,104148
2019 DECEMBER,SHANNON,99050
2020 JANUARY,SHANNON,85974
2020 FEBRUARY,SHANNON,86800
2020 MARCH,SHANNON,43454
2020 APRIL,SHANNON,85
2020 MAY,SHANNON,17
2020 JUNE,SHANNON,18
2020 JULY,SHANNON,14607
2020 AUGUST,SHANNON,19871
2020 SEPTEMBER,SHANNON,11027
2020 OCTOBER,SHANNON,8011
2020 NOVEMBER,SHANNON,1823
2020 DECEMBER,SHANNON,2247
2021 JANUARY,SHANNON,1214
2021 FEBRUARY,SHANNON,441
2021 MARCH,SHANNON,667
2021 APRIL,SHANNON,186
2021 MAY,SHANNON,369
2021 JUNE,SHANNON,9734
2021 JULY,SHANNON,23859
2021 AUGUST,SHANNON,47540
2021 SEPTEMBER,SHANNON,53895
2021 OCTOBER,SHANNON,71853
2021 NOVEMBER,SHANNON,63560
2021 DECEMBER,SHANNON,48844
2022 JANUARY,SHANNON,42015
2022 FEBRUARY,SHANNON,57910
2022 MARCH,SHANNON,81286
2022 APRIL,SHANNON,123923
2022 MAY,SHANNON,135026
2022 JUNE,SHANNON,148990
2022 JULY,SHANNON,164397
2022 AUGUST,SHANNON,159082
2022 SEPTEMBER,SHANNON,141557
2022 OCTOBER,SHANNON,133549
2022 NOVEMBER,SHANNON,115403
2022 DECEMBER,SHANNON,118820
2023 JANUARY,SHANNON,105259
2023 FEBRUARY,SHANNON,96916
2023 MARCH,SHANNON,126318
2023 APRIL,SHANNON,171325
2023 MAY,SHANNON,178919
2023 JUNE,SHANNON,196179
2023 JULY,SHANNON,207369
2023 AUGUST,SHANNON,215226
2023 SEPTEMBER,SHANNON,178793
2023 OCTOBER,SHANNON,168861
2023 NOVEMBER,SHANNON,124499
2023 DECEMBER,SHANNON,127935
2024 JANUARY,SHANNON,113691
2024 FEBRUARY,SHANNON,111438
2024 MARCH,SHANNON,144597
2024 APRIL,SHANNON,169559
2024 MAY,SHANNON,197406
2024 JUNE,SHANNON,209100
2024 JULY,SHANNON,220956
2024 AUGUST,SHANNON,231125
2024 SEPTEMBER,SHANNON,190359
2024 OCTOBER,SHANNON,185302
2024 NOVEMBER,SHANNON,134618
