Date,Airport,Passengers
2019 JANUARY,DUBLIN,2054794
2019 JANUARY,CORK,148939
2019 JANUARY,SHANNON,87016
2019 JANUARY,KNOCK,42413
2019 JANUARY,KERRY,20829
2019 JANUARY,ALL MAIN AIRPORTS,2353991
2019 FEBRUARY,DUBLIN,1993325
2019 FEBRUARY,CORK,150482
2019 FEBRUARY,SHANNON,82497
2019 FEBRUARY,KNOCK,45456
2019 FEBRUARY,KERRY,22231
2019 FEBRUARY,ALL MAIN AIRPORTS,2293991
2019 MARCH,DUBLIN,2432195
2019 MARCH,CORK,174876
2019 MARCH,SHANNON,100374
2019 MARCH,KNOCK,54700
2019 MARCH,KERRY,25546
2019 MARCH,ALL MAIN AIRPORTS,2787691
2019 APRIL,DUBLIN,2789660
2019 APRIL,CORK,210510
2019 APRIL,SHANNON,128840
2019 APRIL,KNOCK,71563
2019 APRIL,KERRY,32171
2019 APRIL,ALL MAIN AIRPORTS,3232744
2019 MAY,DUBLIN,2965517
2019 MAY,CORK,239077
2019 MAY,SHANNON,160902
2019 MAY,KNOCK,73850
2019 MAY,KERRY,34213
2019 MAY,ALL MAIN AIRPORTS,3473559
2019 JUNE,DUBLIN,3202409
2019 JUNE,CORK,278961
2019 JUNE,SHANNON,178680
2019 JUNE,KNOCK,77020
2019 JUNE,KERRY,36150
2019 JUNE,ALL MAIN AIRPORTS,3773220
2019 JULY,DUBLIN,3430859
2019 JULY,CORK,296876
2019 JULY,SHANNON,183398
2019 JULY,KNOCK,88781
2019 JULY,KERRY,40680
2019 JULY,ALL MAIN AIRPORTS,4040594
2019 AUGUST,DUBLIN,3399714
2019 AUGUST,CORK,296799
2019 AUGUST,SHANNON,187029
2019 AUGUST,KNOCK,94907
2019 AUGUST,KERRY,39617
2019 AUGUST,ALL MAIN AIRPORTS,4018066
2019 SEPTEMBER,DUBLIN,3021796
2019 SEPTEMBER,CORK,238523
2019 SEPTEMBER,SHANNON,166270
2019 SEPTEMBER,KNOCK,76300
2019 SEPTEMBER,KERRY,35721
2019 SEPTEMBER,ALL MAIN AIRPORTS,3538610
2019 OCTOBER,DUBLIN,2865397
2019 OCTOBER,CORK,215482
2019 OCTOBER,SHANNON,138218
2019 OCTOBER,KNOCK,72299
2019 OCTOBER,KERRY,31790
2019 OCTOBER,ALL MAIN AIRPORTS,3323186
2019 NOVEMBER,DUBLIN,2240194
2019 NOVEMBER,CORK,171693
2019 NOVEMBER,SHANNON,104148
2019 NOVEMBER,KNOCK,55255
2019 NOVEMBER,KERRY,25151
2019 NOVEMBER,ALL MAIN AIRPORTS,2596441
2019 DECEMBER,DUBLIN,2280391
2019 DECEMBER,CORK,163248
2019 DECEMBER,SHANNON,99050
2019 DECEMBER,KNOCK,52899
2019 DECEMBER,KERRY,25737
2019 DECEMBER,ALL MAIN AIRPORTS,2621325
2020 JANUARY,DUBLIN,2082481
2020 JANUARY,CORK,158078
2020 JANUARY,SHANNON,85974
2020 JANUARY,KNOCK,40272
2020 JANUARY,KERRY,21572
2020 JANUARY,ALL MAIN AIRPORTS,2388377
2020 FEBRUARY,DUBLIN,2030643
2020 FEBRUARY,CORK,159121
2020 FEBRUARY,SHANNON,86800
2020 FEBRUARY,KNOCK,45263
2020 FEBRUARY,KERRY,22699
2020 FEBRUARY,ALL MAIN AIRPORTS,2344526
2020 MARCH,DUBLIN,1026004
2020 MARCH,CORK,80188
2020 MARCH,SHANNON,43454
2020 MARCH,KNOCK,22436
2020 MARCH,KERRY,11492
2020 MARCH,ALL MAIN AIRPORTS,1183574
2020 APRIL,DUBLIN,23951
2020 APRIL,CORK,1140
2020 APRIL,SHANNON,85
2020 APRIL,KNOCK,0
2020 APRIL,KERRY,110
2020 APRIL,ALL MAIN AIRPORTS,25286
2020 MAY,DUBLIN,42661
2020 MAY,CORK,2116
2020 MAY,SHANNON,17
2020 MAY,KNOCK,0
2020 MAY,KERRY,219
2020 MAY,ALL MAIN AIRPORTS,45013
2020 JUNE,DUBLIN,88980
2020 JUNE,CORK,4623
2020 JUNE,SHANNON,18
2020 JUNE,KNOCK,0
2020 JUNE,KERRY,479
2020 JUNE,ALL MAIN AIRPORTS,94100
2020 JULY,DUBLIN,374443
2020 JULY,CORK,27631
2020 JULY,SHANNON,14607
2020 JULY,KNOCK,8072
2020 JULY,KERRY,6528
2020 JULY,ALL MAIN AIRPORTS,431281
2020 AUGUST,DUBLIN,509910
2020 AUGUST,CORK,39951
2020 AUGUST,SHANNON,19871
2020 AUGUST,KNOCK,13707
2020 AUGUST,KERRY,8337
2020 AUGUST,ALL MAIN AIRPORTS,591776
2020 SEPTEMBER,DUBLIN,386058
2020 SEPTEMBER,CORK,22705
2020 SEPTEMBER,SHANNON,11027
2020 SEPTEMBER,KNOCK,5734
2020 SEPTEMBER,KERRY,5103
2020 SEPTEMBER,ALL MAIN AIRPORTS,430627
2020 OCTOBER,DUBLIN,253972
2020 OCTOBER,CORK,16714
2020 OCTOBER,SHANNON,8011
2020 OCTOBER,KNOCK,4661
2020 OCTOBER,KERRY,3188
2020 OCTOBER,ALL MAIN AIRPORTS,286546
2020 NOVEMBER,DUBLIN,166835
2020 NOVEMBER,CORK,6108
2020 NOVEMBER,SHANNON,1823
2020 NOVEMBER,KNOCK,1343
2020 NOVEMBER,KERRY,1342
2020 NOVEMBER,ALL MAIN AIRPORTS,177451
2020 DECEMBER,DUBLIN,281302
2020 DECEMBER,CORK,8639
2020 DECEMBER,SHANNON,2247
2020 DECEMBER,KNOCK,1044
2020 DECEMBER,KERRY,1890
2020 DECEMBER,ALL MAIN AIRPORTS,295122
2021 JANUARY,DUBLIN,199133
2021 JANUARY,CORK,4849
2021 JANUARY,SHANNON,1214
2021 JANUARY,KNOCK,619
2021 JANUARY,KERRY,1065
2021 JANUARY,ALL MAIN AIRPORTS,206880
2021 FEBRUARY,DUBLIN,95802
2021 FEBRUARY,CORK,1478
2021 FEBRUARY,SHANNON,441
2021 FEBRUARY,KNOCK,0
2021 FEBRUARY,KERRY,406
2021 FEBRUARY,ALL MAIN AIRPORTS,98127
2021 MARCH,DUBLIN,110177
2021 MARCH,CORK,2599
2021 MARCH,SHANNON,667
2021 MARCH,KNOCK,0
2021 MARCH,KERRY,517
2021 MARCH,ALL MAIN AIRPORTS,113960
2021 APRIL,DUBLIN,120002
2021 APRIL,CORK,3796
2021 APRIL,SHANNON,186
2021 APRIL,KNOCK,0
2021 APRIL,KERRY,667
2021 APRIL,ALL MAIN AIRPORTS,124651
2021 MAY,DUBLIN,150855
2021 MAY,CORK,6956
2021 MAY,SHANNON,369
2021 MAY,KNOCK,0
2021 MAY,KERRY,935
2021 MAY,ALL MAIN AIRPORTS,159115
2021 JUNE,DUBLIN,283892
2021 JUNE,CORK,14179
2021 JUNE,SHANNON,9734
2021 JUNE,KNOCK,2077
2021 JUNE,KERRY,2699
2021 JUNE,ALL MAIN AIRPORTS,312581
2021 JULY,DUBLIN,638986
2021 JULY,CORK,32001
2021 JULY,SHANNON,23859
2021 JULY,KNOCK,9505
2021 JULY,KERRY,5380
2021 JULY,ALL MAIN AIRPORTS,709731
2021 AUGUST,DUBLIN,1233212
2021 AUGUST,CORK,73640
2021 AUGUST,SHANNON,47540
2021 AUGUST,KNOCK,25307
2021 AUGUST,KERRY,20811
2021 AUGUST,ALL MAIN AIRPORTS,1400510
2021 SEPTEMBER,DUBLIN,1330636
2021 SEPTEMBER,CORK,28168
2021 SEPTEMBER,SHANNON,53895
2021 SEPTEMBER,KNOCK,34333
2021 SEPTEMBER,KERRY,19235
2021 SEPTEMBER,ALL MAIN AIRPORTS,1466267
2021 OCTOBER,DUBLIN,1543404
2021 OCTOBER,CORK,0
2021 OCTOBER,SHANNON,71853
2021 OCTOBER,KNOCK,42943
2021 OCTOBER,KERRY,27229
2021 OCTOBER,ALL MAIN AIRPORTS,1685429
2021 NOVEMBER,DUBLIN,1382610
2021 NOVEMBER,CORK,14933
2021 NOVEMBER,SHANNON,63560
2021 NOVEMBER,KNOCK,33438
2021 NOVEMBER,KERRY,21588
2021 NOVEMBER,ALL MAIN AIRPORTS,1516129
2021 DECEMBER,DUBLIN,1177562
2021 DECEMBER,CORK,72415
2021 DECEMBER,SHANNON,48844
2021 DECEMBER,KNOCK,25805
2021 DECEMBER,KERRY,14866
2021 DECEMBER,ALL MAIN AIRPORTS,1339492
2022 JANUARY,DUBLIN,969467
2022 JANUARY,CORK,65166
2022 JANUARY,SHANNON,42015
2022 JANUARY,KNOCK,13820
2022 JANUARY,KERRY,7158
2022 JANUARY,ALL MAIN AIRPORTS,1097626
2022 FEBRUARY,DUBLIN,1313651
2022 FEBRUARY,CORK,96947
2022 FEBRUARY,SHANNON,57910
2022 FEBRUARY,KNOCK,32660
2022 FEBRUARY,KERRY,15579
2022 FEBRUARY,ALL MAIN AIRPORTS,1516747
2022 MARCH,DUBLIN,1816453
2022 MARCH,CORK,126210
2022 MARCH,SHANNON,81286
2022 MARCH,KNOCK,39901
2022 MARCH,KERRY,22099
2022 MARCH,ALL MAIN AIRPORTS,2085949
2022 APRIL,DUBLIN,2369756
2022 APRIL,CORK,192275
2022 APRIL,SHANNON,123923
2022 APRIL,KNOCK,69961
2022 APRIL,KERRY,33828
2022 APRIL,ALL MAIN AIRPORTS,2789743
2022 MAY,DUBLIN,2582957
2022 MAY,CORK,204036
2022 MAY,SHANNON,135026
2022 MAY,KNOCK,63041
2022 MAY,KERRY,33047
2022 MAY,ALL MAIN AIRPORTS,3018107
2022 JUNE,DUBLIN,2826982
2022 JUNE,CORK,248904
2022 JUNE,SHANNON,148990
2022 JUNE,KNOCK,67026
2022 JUNE,KERRY,35218
2022 JUNE,ALL MAIN AIRPORTS,3327120
2022 JULY,DUBLIN,3038562
2022 JULY,CORK,265597
2022 JULY,SHANNON,164397
2022 JULY,KNOCK,86617
2022 JULY,KERRY,40073
2022 JULY,ALL MAIN AIRPORTS,3595246
2022 AUGUST,DUBLIN,3045763
2022 AUGUST,CORK,269799
2022 AUGUST,SHANNON,159082
2022 AUGUST,KNOCK,92213
2022 AUGUST,KERRY,41433
2022 AUGUST,ALL MAIN AIRPORTS,3608290
2022 SEPTEMBER,DUBLIN,2756408
2022 SEPTEMBER,CORK,232410
2022 SEPTEMBER,SHANNON,141557
2022 SEPTEMBER,KNOCK,73765
2022 SEPTEMBER,KERRY,36563
2022 SEPTEMBER,ALL MAIN AIRPORTS,3240703
2022 OCTOBER,DUBLIN,2689961
2022 OCTOBER,CORK,205807
2022 OCTOBER,SHANNON,133549
2022 OCTOBER,KNOCK,73188
2022 OCTOBER,KERRY,36143
2022 OCTOBER,ALL MAIN AIRPORTS,3138648
2022 NOVEMBER,DUBLIN,2194199
2022 NOVEMBER,CORK,166913
2022 NOVEMBER,SHANNON,115403
2022 NOVEMBER,KNOCK,48705
2022 NOVEMBER,KERRY,25883
2022 NOVEMBER,ALL MAIN AIRPORTS,2551103
2022 DECEMBER,DUBLIN,2189186
2022 DECEMBER,CORK,164391
2022 DECEMBER,SHANNON,118820
2022 DECEMBER,KNOCK,48643
2022 DECEMBER,KERRY,28019
2022 DECEMBER,ALL MAIN AIRPORTS,2549058
2023 JANUARY,DUBLIN,2091755
2023 JANUARY,CORK,160857
2023 JANUARY,SHANNON,105259
2023 JANUARY,KNOCK,37639
2023 JANUARY,KERRY,21563
2023 JANUARY,ALL MAIN AIRPORTS,2417073
2023 FEBRUARY,DUBLIN,2038737
2023 FEBRUARY,CORK,157329
2023 FEBRUARY,SHANNON,96916
2023 FEBRUARY,KNOCK,43812
2023 FEBRUARY,KERRY,24612
2023 FEBRUARY,ALL MAIN AIRPORTS,2361406
2023 MARCH,DUBLIN,2459474
2023 MARCH,CORK,180835
2023 MARCH,SHANNON,126318
2023 MARCH,KNOCK,51206
2023 MARCH,KERRY,26172
2023 MARCH,ALL MAIN AIRPORTS,2844005
2023 APRIL,DUBLIN,2812524
2023 APRIL,CORK,249691
2023 APRIL,SHANNON,171325
2023 APRIL,KNOCK,76913
2023 APRIL,KERRY,40955
2023 APRIL,ALL MAIN AIRPORTS,3351408
2023 MAY,DUBLIN,3027722
2023 MAY,CORK,262358
2023 MAY,SHANNON,178919
2023 MAY,KNOCK,71170
2023 MAY,KERRY,40825
2023 MAY,ALL MAIN AIRPORTS,3580994
2023 JUNE,DUBLIN,3218694
2023 JUNE,CORK,279671
2023 JUNE,SHANNON,196179
2023 JUNE,KNOCK,81927
2023 JUNE,KERRY,35828
2023 JUNE,ALL MAIN AIRPORTS,3812299
2023 JULY,DUBLIN,3425751
2023 JULY,CORK,300228
2023 JULY,SHANNON,207369
2023 JULY,KNOCK,91189
2023 JULY,KERRY,45902
2023 JULY,ALL MAIN AIRPORTS,4070439
2023 AUGUST,DUBLIN,3420160
2023 AUGUST,CORK,307117
2023 AUGUST,SHANNON,215226
2023 AUGUST,KNOCK,101736
2023 AUGUST,KERRY,48518
2023 AUGUST,ALL MAIN AIRPORTS,4092757
2023 SEPTEMBER,DUBLIN,3083300
2023 SEPTEMBER,CORK,259597
2023 SEPTEMBER,SHANNON,178793
2023 SEPTEMBER,KNOCK,75420
2023 SEPTEMBER,KERRY,39309
2023 SEPTEMBER,ALL MAIN AIRPORTS,3636419
2023 OCTOBER,DUBLIN,2980282
2023 OCTOBER,CORK,253108
2023 OCTOBER,SHANNON,168861
2023 OCTOBER,KNOCK,75368
2023 OCTOBER,KERRY,39404
2023 OCTOBER,ALL MAIN AIRPORTS,3517023
2023 NOVEMBER,DUBLIN,2299219
2023 NOVEMBER,CORK,190414
2023 NOVEMBER,SHANNON,124499
2023 NOVEMBER,KNOCK,53082
2023 NOVEMBER,KERRY,24743
2023 NOVEMBER,ALL MAIN AIRPORTS,2691957
2023 DECEMBER,DUBLIN,2405323
2023 DECEMBER,CORK,196819
2023 DECEMBER,SHANNON,127935
2023 DECEMBER,KNOCK,53804
2023 DECEMBER,KERRY,26740
2023 DECEMBER,ALL MAIN AIRPORTS,2810621
2024 JANUARY,DUBLIN,2167922
2024 JANUARY,CORK,182798
2024 JANUARY,SHANNON,113691
2024 JANUARY,KNOCK,44251
2024 JANUARY,KERRY,20428
2024 JANUARY,ALL MAIN AIRPORTS,2529090
2024 FEBRUARY,DUBLIN,2154619
2024 FEBRUARY,CORK,193184
2024 FEBRUARY,SHANNON,111438
2024 FEBRUARY,KNOCK,52961
2024 FEBRUARY,KERRY,23899
2024 FEBRUARY,ALL MAIN AIRPORTS,2536101
2024 MARCH,DUBLIN,2702558
2024 MARCH,CORK,226007
2024 MARCH,SHANNON,144597
2024 MARCH,KNOCK,61383
2024 MARCH,KERRY,26950
2024 MARCH,ALL MAIN AIRPORTS,3161495
2024 APRIL,DUBLIN,2865471
2024 APRIL,CORK,243397
2024 APRIL,SHANNON,169559
2024 APRIL,KNOCK,71495
2024 APRIL,KERRY,30999
2024 APRIL,ALL MAIN AIRPORTS,3380921
2024 MAY,DUBLIN,3262673
2024 MAY,CORK,281858
2024 MAY,SHANNON,197406
2024 MAY,KNOCK,78943
2024 MAY,KERRY,41079
2024 MAY,ALL MAIN AIRPORTS,3861959
2024 JUNE,DUBLIN,3349407
2024 JUNE,CORK,307213
2024 JUNE,SHANNON,209100
2024 JUNE,KNOCK,78230
2024 JUNE,KERRY,41016
2024 JUNE,ALL MAIN AIRPORTS,3984966
2024 JULY,DUBLIN,3509035
2024 JULY,CORK,327058
2024 JULY,SHANNON,220956
2024 JULY,KNOCK,88096
2024 JULY,KERRY,46075
2024 JULY,ALL MAIN AIRPORTS,4191220
2024 AUGUST,DUBLIN,3633237
2024 AUGUST,CORK,341067
2024 AUGUST,SHANNON,231125
2024 AUGUST,KNOCK,88841
2024 AUGUST,KERRY,49651
2024 AUGUST,ALL MAIN AIRPORTS,4343921
2024 SEPTEMBER,DUBLIN,3227287
2024 SEPTEMBER,CORK,295093
2024 SEPTEMBER,SHANNON,190359
2024 SEPTEMBER,KNOCK,75270
2024 SEPTEMBER,KERRY,39779
2024 SEPTEMBER,ALL MAIN AIRPORTS,3827788
2024 OCTOBER,DUBLIN,2997066
2024 OCTOBER,CORK,258822
2024 OCTOBER,SHANNON,185302
2024 OCTOBER,KNOCK,69319
2024 OCTOBER,KERRY,37484
2024 OCTOBER,ALL MAIN AIRPORTS,3547993
2024 NOVEMBER,DUBLIN,2359919
2024 NOVEMBER,CORK,200682
2024 NOVEMBER,SHANNON,134618
2024 NOVEMBER,KNOCK,58955
2024 NOVEMBER,KERRY,26236
2024 NOVEMBER,ALL MAIN AIRPORTS,2780410
